label,count,category,method,confidence,details
isolation source,113,Biospecimen Age,similarity,MEDIUM,Similar to: isolation stage (score: 0.774)
collection time,106,Biospecimen Age,keyword,HIGH,exact_match: time
time after treatment,106,Biospecimen Age,keyword,HIGH,exact_match: time
growth media,106,Biospecimen Age,similarity,MEDIUM,Similar to: growth time (score: 0.783)
age at sampling,105,Biospecimen Age,keyword,HIGH,exact_match: age
gestational age,102,Biospecimen Age,keyword,HIGH,exact_match: age
Usage number,101,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
infected,101,Biospecimen Age,similarity,MEDIUM,Similar to: time infected (score: 0.762)
average library size,100,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
exposure time,100,Biospecimen Age,keyword,HIGH,exact_match: time
age of psoriasis onset,100,Biospecimen Age,keyword,HIGH,exact_match: age
treatment time point,98,Biospecimen Age,keyword,HIGH,exact_match: time
ko induction_time,97,Biospecimen Age,keyword,LOW,pattern: .*time.*
days post-vaccination,96,Biospecimen Age,keyword,LOW,pattern: .*day.*
age at transplant,96,Biospecimen Age,keyword,HIGH,exact_match: age
animal name,95,Biospecimen Age,similarity,MEDIUM,Similar to: animal age (score: 0.857)
age.at.operation,92,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
disease_stage,91,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
days post onset of symptoms,90,Biospecimen Age,keyword,LOW,pattern: .*day.*
"age, months",90,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
survival_time,89,Biospecimen Age,keyword,LOW,pattern: .*time.*
age of death,87,Biospecimen Age,keyword,HIGH,exact_match: age
AGE,86,Biospecimen Age,keyword,HIGH,exact_match: age
clinical stage,85,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
clinical type,85,Biospecimen Age,similarity,MEDIUM,Similar to: clinical stage (score: 0.815)
survival time in months,84,Biospecimen Age,keyword,HIGH,exact_match: time
culture method,84,Biospecimen Age,similarity,MEDIUM,Similar to: culture time (score: 0.769)
draw day,82,Biospecimen Age,keyword,HIGH,exact_match: day
experiment label,82,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.750)
infectious challenge,82,Biospecimen Age,similarity,MEDIUM,Similar to: infectious agent (score: 0.778)
relapse time,79,Biospecimen Age,keyword,HIGH,exact_match: time
stage of repair process,78,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
culture days,77,Biospecimen Age,keyword,LOW,pattern: .*day.*
cancer stage,76,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
growth stage,74,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
activation agent,74,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
experimental status,72,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.800)
storage,71,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age at initiation,70,Biospecimen Age,keyword,HIGH,exact_match: age
Degree of differentiation,69,Biospecimen Age,similarity,MEDIUM,Similar to: stage of differentiation (score: 0.857)
ann arbor stage,66,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
sampling.time,66,Biospecimen Age,keyword,LOW,pattern: .*time.*
harvest time,64,Biospecimen Age,keyword,HIGH,exact_match: time
overall.survival.time,63,Biospecimen Age,keyword,LOW,pattern: .*time.*
days post infection,63,Biospecimen Age,keyword,LOW,pattern: .*day.*
life stage,62,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
time in culture,62,Biospecimen Age,keyword,HIGH,exact_match: time
collection day,62,Biospecimen Age,keyword,HIGH,exact_match: day
stage,60,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
days after stimulation,60,Biospecimen Age,keyword,LOW,pattern: .*day.*
labeling agent,60,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
Case,60,Biospecimen Age,similarity,MEDIUM,Similar to: cage (score: 0.750)
survival year,58,Biospecimen Age,keyword,HIGH,exact_match: year
time after infection,57,Biospecimen Age,keyword,HIGH,exact_match: time
treatment/timepoint,57,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
experimental set,57,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.812)
sampling site,57,Biospecimen Age,similarity,MEDIUM,Similar to: sampling time (score: 0.846)
age and disease,56,Biospecimen Age,keyword,HIGH,exact_match: age
year of isolation,55,Biospecimen Age,keyword,HIGH,exact_match: year
Differentiation Method,55,Biospecimen Age,similarity,MEDIUM,Similar to: differentiation time (score: 0.857)
timepoint_description,54,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
age at surgery,53,Biospecimen Age,keyword,HIGH,exact_match: age
sporozoite age,52,Biospecimen Age,keyword,HIGH,exact_match: age
age/gender,51,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
treatment stage,51,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
oxygen percentage,51,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age in_yrs,50,Biospecimen Age,keyword,HIGH,exact_match: age
injury/age,50,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
sex/age,49,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
experimental day,48,Biospecimen Age,keyword,HIGH,exact_match: day
day post-infection,48,Biospecimen Age,keyword,HIGH,exact_match: day
treatment_time,48,Biospecimen Age,keyword,LOW,pattern: .*time.*
experiment batch,48,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.750)
age fracture,47,Biospecimen Age,keyword,HIGH,exact_match: age
isolation,47,Biospecimen Age,similarity,MEDIUM,Similar to: isolation stage (score: 0.750)
days post-infection,45,Biospecimen Age,keyword,LOW,pattern: .*day.*
time of sampling,44,Biospecimen Age,keyword,HIGH,exact_match: time
growth type,44,Biospecimen Age,similarity,MEDIUM,Similar to: growth time (score: 0.818)
day of collection,43,Biospecimen Age,keyword,HIGH,exact_match: day
days ill,43,Biospecimen Age,keyword,LOW,pattern: .*day.*
collection date,43,Biospecimen Age,similarity,MEDIUM,Similar to: collection day (score: 0.897)
differentiation status,43,Biospecimen Age,similarity,MEDIUM,Similar to: differentiation stage (score: 0.884)
age/disease timepoint,42,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
age years,42,Biospecimen Age,keyword,HIGH,exact_match: age
differentiation time,42,Biospecimen Age,keyword,HIGH,exact_match: time
days post exposure,42,Biospecimen Age,keyword,LOW,pattern: .*day.*
maternal age,42,Biospecimen Age,keyword,HIGH,exact_match: age
time post-vaccination,42,Biospecimen Age,keyword,HIGH,exact_match: time
days post_infection,42,Biospecimen Age,keyword,LOW,pattern: .*day.*
state of culture,42,Biospecimen Age,similarity,MEDIUM,Similar to: age of  culture (score: 0.839)
post-treatment day,41,Biospecimen Age,keyword,HIGH,exact_match: day
days post-prime,40,Biospecimen Age,keyword,LOW,pattern: .*day.*
collection,40,Biospecimen Age,similarity,MEDIUM,Similar to: collection day (score: 0.833)
overall.survival,40,Biospecimen Age,similarity,MEDIUM,Similar to: overall.survival.time (score: 0.865)
days post challenge,39,Biospecimen Age,keyword,LOW,pattern: .*day.*
experimental batch,38,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.824)
timepoint_in_hours,36,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
day transplantation,36,Biospecimen Age,keyword,HIGH,exact_match: day
growth time mins,36,Biospecimen Age,keyword,HIGH,exact_match: time
time post-treatment,36,Biospecimen Age,keyword,HIGH,exact_match: time
experimental,36,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.857)
Age of Onset,35,Biospecimen Age,keyword,HIGH,exact_match: age
culture age,35,Biospecimen Age,keyword,HIGH,exact_match: age
developmental stages,35,Biospecimen Age,keyword,MEDIUM,keyword: developmental stage
experimental design,35,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.800)
Clinical Status,35,Biospecimen Age,similarity,MEDIUM,Similar to: clinical stage (score: 0.828)
labversion description,35,Biospecimen Age,similarity,MEDIUM,Similar to: age description (score: 0.757)
time_point,34,Biospecimen Age,keyword,LOW,pattern: .*time.*
day of isolation,34,Biospecimen Age,keyword,HIGH,exact_match: day
GOLD stage,34,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
Age at time of surgery,34,Biospecimen Age,keyword,HIGH,exact_match: age
Type of Surgery,34,Biospecimen Age,similarity,MEDIUM,Similar to: year of surgery (score: 0.867)
time post initiation of treatment,33,Biospecimen Age,keyword,HIGH,exact_match: time
age at collection,33,Biospecimen Age,keyword,HIGH,exact_match: age
parasite isolate,33,Biospecimen Age,similarity,MEDIUM,Similar to: parasite stage (score: 0.800)
time after treatment (and reversal) in hours,32,Biospecimen Age,keyword,HIGH,exact_match: time
age post-hatch,32,Biospecimen Age,keyword,HIGH,exact_match: age
age fraction,31,Biospecimen Age,keyword,HIGH,exact_match: age
gestational stage,31,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age at time of collection,31,Biospecimen Age,keyword,HIGH,exact_match: age
post-operative day,30,Biospecimen Age,keyword,HIGH,exact_match: day
growth time,30,Biospecimen Age,keyword,HIGH,exact_match: time
induction time,30,Biospecimen Age,keyword,HIGH,exact_match: time
pretreatment time,30,Biospecimen Age,keyword,HIGH,exact_match: time
Time after induction,30,Biospecimen Age,keyword,HIGH,exact_match: time
sampling point,30,Biospecimen Age,similarity,MEDIUM,Similar to: sampling timepoint (score: 0.875)
differentiation state,30,Biospecimen Age,similarity,HIGH,Similar to: differentiation stage (score: 0.952)
age at examination,29,Biospecimen Age,keyword,HIGH,exact_match: age
dev_stage at treatment initiation,28,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
time infected,28,Biospecimen Age,keyword,HIGH,exact_match: time
experimental factor,28,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.800)
culture status,28,Biospecimen Age,similarity,MEDIUM,Similar to: culture stage (score: 0.815)
interval_death_symptoms_onset_days,27,Biospecimen Age,keyword,LOW,pattern: .*day.*
intubation_days,27,Biospecimen Age,keyword,LOW,pattern: .*day.*
time point days,26,Biospecimen Age,keyword,HIGH,exact_match: time
time designation after sclerosis,26,Biospecimen Age,keyword,HIGH,exact_match: time
time since sclerosis,26,Biospecimen Age,keyword,HIGH,exact_match: time
time since transplant,26,Biospecimen Age,keyword,HIGH,exact_match: time
Passage,26,Biospecimen Age,keyword,MEDIUM,keyword: passage
culture stage,26,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
harvesting,26,Biospecimen Age,similarity,MEDIUM,Similar to: harvesting time (score: 0.800)
death_time,25,Biospecimen Age,keyword,LOW,pattern: .*time.*
collection_date,25,Biospecimen Age,similarity,MEDIUM,Similar to: collection day (score: 0.828)
time post treatment,24,Biospecimen Age,keyword,HIGH,exact_match: time
days post treatment,24,Biospecimen Age,keyword,LOW,pattern: .*day.*
sampling time point,24,Biospecimen Age,keyword,HIGH,exact_match: time
day of collection/passage,24,Biospecimen Age,keyword,HIGH,exact_match: day
harvest time post treatment,24,Biospecimen Age,keyword,HIGH,exact_match: time
time post_injury,24,Biospecimen Age,keyword,HIGH,exact_match: time
differentiation_age,24,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
embryonic day,24,Biospecimen Age,keyword,HIGH,exact_match: day
time post-infection,24,Biospecimen Age,keyword,HIGH,exact_match: time
os_days,24,Biospecimen Age,keyword,LOW,pattern: .*day.*
sepsis stage,23,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
os months,23,Biospecimen Age,similarity,HIGH,Similar to: os month (score: 0.941)
fever day,22,Biospecimen Age,keyword,HIGH,exact_match: day
injection age,20,Biospecimen Age,keyword,HIGH,exact_match: age
MaternalAge,20,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
Cause of Death,20,Biospecimen Age,similarity,MEDIUM,Similar to: age of death (score: 0.846)
type of death,20,Biospecimen Age,similarity,MEDIUM,Similar to: age of death (score: 0.800)
isolation stage,19,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
timepoint_progressors,19,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
time point post infection,19,Biospecimen Age,keyword,HIGH,exact_match: time
time of treatment,19,Biospecimen Age,keyword,HIGH,exact_match: time
age at onset,19,Biospecimen Age,keyword,HIGH,exact_match: age
duration of untreated disease in month,19,Biospecimen Age,keyword,HIGH,exact_match: month
cold ischemia time,19,Biospecimen Age,keyword,HIGH,exact_match: time
donation time,19,Biospecimen Age,keyword,HIGH,exact_match: time
time post-exposure,18,Biospecimen Age,keyword,HIGH,exact_match: time
age_category,18,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age of disease onset percentile,18,Biospecimen Age,keyword,HIGH,exact_match: age
age of disease onset,18,Biospecimen Age,keyword,HIGH,exact_match: age
collection buffer,18,Biospecimen Age,similarity,MEDIUM,Similar to: collection time (score: 0.750)
collection point,18,Biospecimen Age,similarity,MEDIUM,Similar to: collection timepoint (score: 0.889)
overall survival,18,Biospecimen Age,similarity,MEDIUM,Similar to: overall.survival.time (score: 0.811)
experimental variable,18,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.757)
culture batch,18,Biospecimen Age,similarity,MEDIUM,Similar to: culture age (score: 0.750)
age in months,17,Biospecimen Age,keyword,HIGH,exact_match: age
day of development,17,Biospecimen Age,keyword,HIGH,exact_match: day
parasite/gametocyte stage,17,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
cold ischemia_time,16,Biospecimen Age,keyword,LOW,pattern: .*time.*
time of_treatment,16,Biospecimen Age,keyword,HIGH,exact_match: time
incubation time,16,Biospecimen Age,keyword,HIGH,exact_match: time
age tier,16,Biospecimen Age,keyword,HIGH,exact_match: age
developmental age,16,Biospecimen Age,keyword,HIGH,exact_match: age
treatment agent,16,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
day of protocol,16,Biospecimen Age,keyword,HIGH,exact_match: day
source/differentiation,16,Biospecimen Age,similarity,MEDIUM,Similar to: days of differentiation (score: 0.756)
differentiation time point,15,Biospecimen Age,keyword,HIGH,exact_match: time
age of  culture,15,Biospecimen Age,keyword,HIGH,exact_match: age
phase description,15,Biospecimen Age,similarity,MEDIUM,Similar to: age description (score: 0.875)
stim,15,Biospecimen Age,similarity,MEDIUM,Similar to: time (score: 0.750)
experiment name,15,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.774)
length of culture,15,Biospecimen Age,similarity,MEDIUM,Similar to: age of  culture (score: 0.750)
block storage,13,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
time to relapse,13,Biospecimen Age,keyword,HIGH,exact_match: time
harvest time point,13,Biospecimen Age,keyword,HIGH,exact_match: time
Tumor Stage,13,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
onset age,13,Biospecimen Age,keyword,HIGH,exact_match: age
agent concentration,12,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
time after virus injection,12,Biospecimen Age,keyword,HIGH,exact_match: time
days,12,Biospecimen Age,keyword,LOW,pattern: .*day.*
time post-immunization,12,Biospecimen Age,keyword,HIGH,exact_match: time
time point in the model of dormancy,12,Biospecimen Age,keyword,HIGH,exact_match: time
"age, yrs",12,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
developmental stage/tumor stage,12,Biospecimen Age,keyword,MEDIUM,keyword: developmental stage
chronological age,12,Biospecimen Age,keyword,HIGH,exact_match: age
days under treatment,12,Biospecimen Age,keyword,LOW,pattern: .*day.*
final age at death,12,Biospecimen Age,keyword,HIGH,exact_match: age
death day,12,Biospecimen Age,keyword,HIGH,exact_match: day
long description,12,Biospecimen Age,similarity,MEDIUM,Similar to: age description (score: 0.839)
Developmental stage,10,Biospecimen Age,keyword,MEDIUM,keyword: developmental stage
gestational days,10,Biospecimen Age,keyword,LOW,pattern: .*day.*
age at diagnosis in months,10,Biospecimen Age,keyword,HIGH,exact_match: age
day post transplant,10,Biospecimen Age,keyword,HIGH,exact_match: day
age at study start,10,Biospecimen Age,keyword,HIGH,exact_match: age
time of last follow up in months,10,Biospecimen Age,keyword,HIGH,exact_match: time
day after intubation,10,Biospecimen Age,keyword,HIGH,exact_match: day
age at harvest,10,Biospecimen Age,keyword,HIGH,exact_match: age
maternal state,10,Biospecimen Age,similarity,MEDIUM,Similar to: maternal age (score: 0.846)
culture medium,10,Biospecimen Age,similarity,MEDIUM,Similar to: culture time (score: 0.769)
time of day,9,Biospecimen Age,keyword,HIGH,exact_match: day
age range,9,Biospecimen Age,keyword,HIGH,exact_match: age
exacerbation day,9,Biospecimen Age,keyword,HIGH,exact_match: day
process day,9,Biospecimen Age,keyword,HIGH,exact_match: day
age/time point,9,Biospecimen Age,keyword,MEDIUM,keyword: time point
differentiation replicate,9,Biospecimen Age,similarity,MEDIUM,Similar to: differentiation time point (score: 0.784)
date of isolation,9,Biospecimen Age,similarity,HIGH,Similar to: day of isolation (score: 0.909)
process order,9,Biospecimen Age,similarity,MEDIUM,Similar to: process day (score: 0.750)
day after transplantation,8,Biospecimen Age,keyword,HIGH,exact_match: day
age of_diagnosis,8,Biospecimen Age,keyword,HIGH,exact_match: age
time since first diagnosis,8,Biospecimen Age,keyword,HIGH,exact_match: time
age of_onset,8,Biospecimen Age,keyword,HIGH,exact_match: age
